relationshipId,sourceType,sourceId,sourceName,relationshipType,targetType,targetId,targetName,status
REL-093,APPLICATION,APP-14,Fraud Detection Engine,RUNS_ON,ASSET,AST-025,FRAUD-SVC-02,Active
REL-094,APPLICATION,APP-14,Fraud Detection Engine,RUNS_ON,ASSET,AST-053,K8S-FRAUD-POD-01,Active
REL-095,APPLICATION,APP-14,Fraud Detection Engine,RUNS_ON,ASSET,AST-056,AWS-EC2-FRAUD-01,Active
REL-096,APPLICATION,APP-14,Fraud Detection Engine,USES,REPOSITORY,fraud-detection-engine,fraud-detection-engine,Active
REL-097,APPLICATION,APP-15,Loan Origination System,RUNS_ON,ASSET,AST-026,LOAN-APP-01,Active
REL-098,APPLICATION,APP-15,Loan Origination System,CONNECTS_TO,DATABASE,AST-027,LOAN-DB-01,Active
REL-099,APPLICATION,APP-15,Loan Origination System,USES,REPOSITORY,loan-origination-system,loan-origination-system,Active
REL-100,APPLICATION,APP-16,Treasury Management,RUNS_ON,ASSET,AST-028,TREAS-APP-01,Active
REL-101,APPLICATION,APP-16,Treasury Management,CONNECTS_TO,DATABASE,AST-029,TREAS-DB-01,Active
REL-102,APPLICATION,APP-16,Treasury Management,USES,REPOSITORY,treasury-management,treasury-management,Active
REL-103,APPLICATION,APP-17,HR Portal,RUNS_ON,ASSET,AST-030,HR-PRTL-01,Active
REL-104,APPLICATION,APP-17,HR Portal,RUNS_ON,ASSET,AST-042,WIN-PRD-01,Active
REL-105,APPLICATION,APP-17,HR Portal,RUNS_ON,ASSET,AST-048,CORP-WKS-2201,Active
REL-106,APPLICATION,APP-17,HR Portal,USES,REPOSITORY,hr-portal,hr-portal,Active
REL-107,APPLICATION,APP-18,Vendor Management Portal,RUNS_ON,ASSET,AST-031,VEND-PRTL-01,Active
REL-108,APPLICATION,APP-18,Vendor Management Portal,USES,REPOSITORY,vendor-management-portal,vendor-management-portal,Active
REL-109,APPLICATION,APP-19,Document Management System,RUNS_ON,ASSET,AST-032,DOC-MGT-01,Active
REL-110,APPLICATION,APP-19,Document Management System,USES,REPOSITORY,document-management-system,document-management-system,Active
REL-111,APPLICATION,APP-20,Notification Service,RUNS_ON,ASSET,AST-033,NOTIF-SVC-01,Active
REL-112,APPLICATION,APP-20,Notification Service,RUNS_ON,ASSET,AST-034,NOTIF-SVC-02,Active
REL-113,APPLICATION,APP-20,Notification Service,RUNS_ON,ASSET,AST-054,K8S-NOTIF-POD-01,Active
REL-114,APPLICATION,APP-20,Notification Service,USES,REPOSITORY,notification-service,notification-service,Active
REL-115,APPLICATION,APP-21,API Gateway Platform,RUNS_ON,ASSET,AST-035,APIGW-01,Active
REL-116,APPLICATION,APP-21,API Gateway Platform,RUNS_ON,ASSET,AST-036,APIGW-02,Active
REL-117,APPLICATION,APP-21,API Gateway Platform,USES,REPOSITORY,api-gateway-platform,api-gateway-platform,Active
REL-118,APPLICATION,APP-22,Mobile Banking App,RUNS_ON,ASSET,AST-037,MOBILE-APP-01,Active
REL-119,APPLICATION,APP-22,Mobile Banking App,RUNS_ON,ASSET,AST-038,MOBILE-APP-02,Active
REL-120,APPLICATION,APP-22,Mobile Banking App,USES,REPOSITORY,mobile-banking-app,mobile-banking-app,Active
REL-121,APPLICATION,APP-23,Analytics Data Warehouse,CONNECTS_TO,DATABASE,AST-039,ANALYTICS-01,Active
REL-122,APPLICATION,APP-23,Analytics Data Warehouse,RUNS_ON,ASSET,AST-057,AZURE-VM-ANALYTICS-01,Active
REL-123,APPLICATION,APP-23,Analytics Data Warehouse,USES,REPOSITORY,analytics-data-warehouse,analytics-data-warehouse,Active
REL-124,APPLICATION,APP-24,Identity Provider,RUNS_ON,ASSET,AST-040,IDP-01,Active
REL-125,APPLICATION,APP-24,Identity Provider,RUNS_ON,ASSET,AST-041,IDP-DR,Active
REL-126,APPLICATION,APP-24,Identity Provider,USES,REPOSITORY,identity-provider,identity-provider,Active
REL-127,APPLICATION,APP-01,Payments API,DEPENDS_ON,DEPENDENCY,log4j-core@2.14.1,log4j-core,Active
REL-128,APPLICATION,APP-02,CRM,DEPENDS_ON,DEPENDENCY,lodash@4.17.15,lodash,Active
REL-129,APPLICATION,APP-14,Fraud Detection Engine,DEPENDS_ON,DEPENDENCY,requests@2.19.0,requests,Active
REL-130,APPLICATION,APP-15,Loan Origination System,DEPENDS_ON,DEPENDENCY,jackson-databind@2.9.8,jackson-databind,Active
REL-131,APPLICATION,APP-16,Treasury Management,DEPENDS_ON,DEPENDENCY,spring-core@5.2.9,spring-core,Active
REL-132,APPLICATION,APP-22,Mobile Banking App,DEPENDS_ON,DEPENDENCY,axios@0.21.0,axios,Active
REL-133,APPLICATION,APP-20,Notification Service,DEPENDS_ON,DEPENDENCY,minimist@1.2.0,minimist,Active
REL-134,APPLICATION,APP-09,Batch Processing,DEPENDS_ON,DEPENDENCY,pyyaml@5.1,pyyaml,Active
REL-135,APPLICATION,APP-23,Analytics Data Warehouse,DEPENDS_ON,DEPENDENCY,django@2.2.9,django,Active
REL-136,APPLICATION,APP-24,Identity Provider,DEPENDS_ON,DEPENDENCY,commons-collections@3.2.1,commons-collections,Active
REL-137,APPLICATION,APP-17,HR Portal,DEPENDS_ON,DEPENDENCY,Newtonsoft.Json@9.0.1,Newtonsoft.Json,Active
REL-138,APPLICATION,APP-18,Vendor Management Portal,DEPENDS_ON,DEPENDENCY,actionpack@5.2.1,actionpack,Active
REL-139,APPLICATION,APP-19,Document Management System,DEPENDS_ON,DEPENDENCY,urllib3@1.24.1,urllib3,Active
REL-140,APPLICATION,APP-13,Dev Sandbox,DEPENDS_ON,DEPENDENCY,junit@4.12,junit,Active
REL-141,APPLICATION,APP-21,API Gateway Platform,DEPENDS_ON,DEPENDENCY,express@4.16.0,express,Active
REL-142,APPLICATION,APP-06,Enterprise Service Bus,DEPENDS_ON,DEPENDENCY,protobuf-java@3.6.0,protobuf-java,Active
REL-143,ASSET,AST-001,PAY-API-01,DEPLOYED_ON,CLOUD_ASSET,CLD-001,AWS EC2 — Payments App Server,Active
REL-144,ASSET,AST-044,PAY-DB-01,DEPLOYED_ON,CLOUD_ASSET,CLD-002,AWS RDS — Payments Database,Active
REL-145,ASSET,AST-024,FRAUD-SVC-01,DEPLOYED_ON,CLOUD_ASSET,CLD-004,AWS EC2 — Fraud Detection Server,Active
REL-146,ASSET,AST-004,CRM-APP-01,DEPLOYED_ON,CLOUD_ASSET,CLD-006,AWS EC2 — CRM App Server,Active
REL-147,ASSET,AST-006,CRM-DB-01,DEPLOYED_ON,CLOUD_ASSET,CLD-007,AWS RDS — CRM Database,Active
REL-148,ASSET,AST-039,ANALYTICS-01,DEPLOYED_ON,CLOUD_ASSET,CLD-008,Azure VM — Analytics Warehouse,Active
REL-149,ASSET,AST-037,MOBILE-APP-01,DEPLOYED_ON,CLOUD_ASSET,CLD-013,AWS EC2 — Mobile Banking API Server,Active
REL-150,ASSET,AST-040,IDP-01,DEPLOYED_ON,CLOUD_ASSET,CLD-015,AWS EC2 — Identity Provider Server,Active
REL-151,ASSET,AST-030,HR-PRTL-01,DEPLOYED_ON,CLOUD_ASSET,CLD-017,Azure VM — Vendor Portal Server,Active
REL-152,ASSET,AST-032,DOC-MGT-01,DEPLOYED_ON,CLOUD_ASSET,CLD-018,AWS S3 — Document Management Storage,Active
REL-153,ASSET,AST-018,BATCH-SRV-04,DEPLOYED_ON,CLOUD_ASSET,CLD-019,AWS EC2 — Batch Processing Worker,Active
REL-154,ASSET,AST-023,DEV-APP-08,DEPLOYED_ON,CLOUD_ASSET,CLD-020,Azure VM — Dev Sandbox,Active
