id,vulnerabilityId,action,owner,targetDate,opened,status,progress,validationResult,lastScanDate,lastScanResult,checklist,comments,evidence,changeRequest,incident
REM-0011,VULN-0076,Remediate cross-site scripting in react on AST-032,Vikram Patel,2026-07-07,2026-06-07,Validation,95,Pending,2026-06-27,Still Vulnerable,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],CR-2026-1134,
REM-0012,VULN-0115,Remediate xml external entity injection on AST-033,Vikram Patel,2026-05-18,2026-05-03,Assigned,21,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0013,VULN-0031,Remediate weak tls configuration (tls 1.0) on AST-009,Manish Tiwari,2026-05-16,2026-04-16,Assigned,8,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":false},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0014,VULN-0092,Remediate denial of service via regex (redos) on AST-010,Arun Joshi,2026-07-11,2026-06-11,Validation,95,Pending,2026-07-01,Still Vulnerable,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],CR-2026-1978,
REM-0015,VULN-0106,Remediate log4shell variant — remote code execution on AST-042,Arun Joshi,2026-06-10,2026-06-03,In Progress,64,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],CR-2026-1766,
REM-0016,VULN-0028,Remediate insecure direct object reference in api on AST-031,Rajiv Sinha,2026-07-06,2026-06-06,Validation,87,Pending,2026-06-26,Still Vulnerable,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],CR-2026-1118,
REM-0017,VULN-0055,Remediate authentication bypass in apache http server on AST-039,Amit Kumar,2026-06-25,2026-06-18,Closed,100,Passed,2026-07-08,Not Detected,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":true}]",[],[],CR-2026-1359,
REM-0018,VULN-0005,Remediate buffer overflow in glibc on AST-014,Manish Tiwari,2026-08-14,2026-08-07,In Progress,58,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],CR-2026-1436,
REM-0019,VULN-0071,Remediate default credentials on management interface on AST-002,Priyanka Desai,2026-05-29,2026-05-22,Assigned,7,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":false},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0020,VULN-0060,"Remediate missing security headers (csp, hsts) on AST-033",Priyanka Desai,2026-06-18,2026-04-19,In Progress,33,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0021,VULN-0069,Remediate information disclosure via log output on AST-001,Priyanka Desai,2026-07-03,2026-06-03,Closed,100,Passed,2026-06-23,Not Detected,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":true}]",[],[],CR-2026-1719,
REM-0022,VULN-0039,Remediate privilege escalation via kernel flaw on AST-031,Arun Joshi,2026-07-04,2026-06-27,In Progress,67,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],CR-2026-1553,
REM-0023,VULN-0054,Remediate privilege escalation via kernel flaw on AST-015,Rahul Sharma,2026-05-14,2026-05-07,Assigned,21,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0024,VULN-0084,Remediate weak tls configuration (tls 1.0) on AST-019,Vikram Patel,2026-08-21,2026-07-22,Assigned,17,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":false},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0025,VULN-0037,Remediate weak tls configuration (tls 1.0) on AST-020,Rajiv Sinha,2026-07-17,2026-06-17,Assigned,22,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0026,VULN-0035,Remediate clickjacking — missing x-frame-options on AST-016,Neha Gupta,2026-06-04,2026-04-05,Assigned,24,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0027,VULN-0002,Remediate privilege escalation via kernel flaw on AST-001,Amit Kumar,2026-09-04,2026-08-28,Assigned,6,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":false},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0028,VULN-0024,Remediate cross-site scripting in react on AST-009,Vikram Patel,2026-09-14,2026-08-15,Assigned,9,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":false},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0029,VULN-0063,Remediate path traversal in nginx on AST-002,Tanmay Singh,2026-05-02,2026-04-17,Closed,100,Passed,2026-05-07,Not Detected,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":true}]",[],[],CR-2026-1832,
REM-0030,VULN-0049,Remediate clickjacking — missing x-frame-options on AST-026,Arun Joshi,2026-08-14,2026-06-15,Closed,100,Passed,2026-07-05,Not Detected,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":true}]",[],[],CR-2026-1750,
REM-0031,VULN-0008,"Remediate missing security headers (csp, hsts) on AST-025",Tanmay Singh,2026-09-08,2026-08-09,Assigned,13,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":false},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0032,VULN-0016,Remediate improper input validation on file upload on AST-004,Deepika Rao,2026-09-07,2026-08-23,Closed,100,Passed,2026-09-12,Not Detected,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":true}]",[],[],CR-2026-1824,
REM-0033,VULN-0047,Remediate clickjacking — missing x-frame-options on AST-044,Priya Nair,2026-08-31,2026-07-02,Assigned,8,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":false},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0034,VULN-0051,Remediate default credentials on management interface on AST-038,Manish Tiwari,2026-04-26,2026-04-11,Closed,100,Passed,2026-05-01,Not Detected,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":true}]",[],[],CR-2026-1252,
REM-0035,VULN-0065,Remediate session fixation vulnerability on AST-013,Vikram Patel,2026-07-24,2026-06-24,Closed,100,Passed,2026-07-14,Not Detected,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":true}]",[],[],CR-2026-1975,
REM-0036,VULN-0099,Remediate privilege escalation via kernel flaw on AST-002,Deepika Rao,2026-04-22,2026-04-15,In Progress,63,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],CR-2026-1391,
REM-0037,VULN-0023,Remediate denial of service via regex (redos) on AST-007,Priya Nair,2026-05-05,2026-04-05,Assigned,5,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":false},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0038,VULN-0006,Remediate server-side request forgery in api gateway on AST-027,Rajiv Sinha,2026-08-07,2026-07-31,Validation,87,Pending,2026-08-20,Still Vulnerable,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],CR-2026-1935,
REM-0039,VULN-0107,Remediate deserialization vulnerability in java on AST-004,Neha Gupta,2026-05-09,2026-04-24,Assigned,23,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0040,VULN-0112,Remediate denial of service via regex (redos) on AST-036,Sanya Mehta,2026-07-02,2026-05-03,Assigned,23,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
